features;accuracy;timeTraining;timeTesting
3240;65.625;0.1723473072052002;0.05404949188232422
3250;65.625;0.1645667552947998;0.05537724494934082
3260;65.625;0.16640114784240723;0.0542905330657959
3270;65.625;0.1662766933441162;0.05498027801513672
3280;65.625;0.16498541831970215;0.05493927001953125
3290;65.625;0.17264938354492188;0.060699462890625
3300;65.625;0.16640090942382812;0.05415225028991699
3310;65.625;0.1850144863128662;0.05445289611816406
3320;65.625;0.16497349739074707;0.05508160591125488
3330;65.625;0.16628098487854004;0.05473041534423828
3340;65.625;0.16458988189697266;0.05597376823425293
3350;65.625;0.1660621166229248;0.0541987419128418
3360;65.625;0.1656486988067627;0.057515859603881836
3370;65.625;0.16744256019592285;0.0550541877746582
3380;65.625;0.1661970615386963;0.055245399475097656
3390;65.625;0.16710805892944336;0.055930376052856445
3400;65.625;0.16738104820251465;0.05434608459472656
3410;65.625;0.16625571250915527;0.055500030517578125
3420;65.625;0.16777658462524414;0.0549623966217041
3430;65.625;0.16822528839111328;0.05537080764770508
3440;65.625;0.16711020469665527;0.05493903160095215
3450;65.625;0.1679232120513916;0.05577850341796875
3460;65.9375;0.18775582313537598;0.05447840690612793
3470;65.9375;0.16765642166137695;0.055613040924072266
3480;65.9375;0.16794872283935547;0.05451512336730957
3490;65.625;0.16748261451721191;0.05561256408691406
3500;65.9375;0.17517495155334473;0.0578160285949707
3510;65.9375;0.1686539649963379;0.05541419982910156
3520;65.9375;0.16846609115600586;0.055609941482543945
3530;65.9375;0.16799139976501465;0.05510520935058594
3540;65.9375;0.16861724853515625;0.05521082878112793
3550;65.9375;0.16679859161376953;0.05621051788330078
3560;65.9375;0.16892457008361816;0.05479717254638672
3570;65.9375;0.16750335693359375;0.05574226379394531
3580;65.9375;0.1675429344177246;0.05600166320800781
3590;65.9375;0.17046117782592773;0.05602765083312988
3600;65.9375;0.1795811653137207;0.05646181106567383
3610;65.9375;0.18804192543029785;0.056804656982421875
